ENTRY ,AEL VRH bulk modulus ,AEL elastic anisotropy ,AEL Poisson ratio ,AEL VRH shear modulus ,space group ,Pearson symbol ,DATA
Ag10S8Sb2 [d3aa24a7307877b5],35.2376,0.440193,0.350433,11.7082,36 - Cmc21,oS40,"[API, Out, JSON ]"
Ag1Al1S2 [e81fdf58728bbeef],71.6539,1.12537,0.302537,32.5879,156 - P3m1,hP4,"[API, Out, JSON ]"
Ag1C2K1 [30b4ea4c8457fd17],27.2627,21.3408,0.289897,13.3219,123 - P4/mmm,tP4,"[API, Out, JSON ]"
Ag1C2Li1 [4038910d534b860e],36.3669,21.7008,0.29722,17.0545,187 - P6m2,hP4,"[API, Out, JSON ]"
Ag1In5Se8 [59aa7f06d2a88d1a],24.7673,1.48744,0.274498,13.1466,111 - P42m,tP14,"[API, Out, JSON ]"
Ag1In5Te8 [03ae9fb0ad91fcf6],21.8088,1.02738,0.269902,11.8548,111 - P42m,tP14,"[API, Out, JSON ]"
Ag1P1Pd5 [92282260eb315f3d],143.289,1.03848,0.371427,40.3004,123 - P4/mmm,tP7,"[API, Out, JSON ]"
Ag1P1Pt5 [c617361aadf1a089],194.622,1.82752,0.394279,44.2714,123 - P4/mmm,tP7,"[API, Out, JSON ]"
Ag1Pt5Si1 [c6eee5e705fb3446],198.197,0.82988,0.375066,54.0228,123 - P4/mmm,tP7,"[API, Out, JSON ]"
Ag2Al2O4 [6c2aa8cffae6bd98],144.441,12.497,0.346996,49.2211,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Ag2Al2Se4 [877eb327e670859d],49.6298,0.799465,0.341038,17.6489,122 - I42d,tI16,"[API, Out, JSON ]"
Ag2As2Ba2 [c78a80a4276e8729],43.5877,0.219957,0.233015,28.3141,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Ag2As2Sr2 [cbd0cb3bc230996a],47.7358,0.346979,0.237302,30.4051,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Ag2Au2F8 [9ee5b4685cffe258],37.0529,0.165308,0.351409,12.2222,140 - I4/mcm,tI24,"[API, Out, JSON ]"
Ag2Ba2P2 [6526b6bd6018f3c0],47.988,0.156331,0.233985,31.0349,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Ag2Bi2Ca2 [d71d07cdd5ecf61b],39.2021,0.517188,0.289265,19.2232,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Ag2Bi2Ca2 [d145209fb6e7e5ee],42.1045,0.286933,0.284967,21.138,186 - P63mc,hP6,"[API, Out, JSON ]"
Ag2Bi2K4 [0f80aff62bbe5e60],15.5392,1.12452,0.272393,8.33897,20 - C2221,oS16,"[API, Out, JSON ]"
Ag2Bi2Yb2 [14c94bcfc408ad8a],41.6841,0.392762,0.286392,20.7652,186 - P63mc,hP6,"[API, Out, JSON ]"
Ag2Br4Cs2 [8e1432465df5fab6],16.2151,0.139231,0.324407,6.44948,63 - Cmcm,oS16,"[API, Out, JSON ]"
Ag2Ca1Ge2 [65bc28c90e116908],57.0356,0.137522,0.304394,25.6591,139 - I4/mmm,tI10,"[API, Out, JSON ]"
Ag2Co2O4 [fbc2cf03b9659c90],148.956,10.5062,0.364064,44.5326,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Ag2Dy2Pb2 [76cc11f36db38ca3],61.9337,0.168461,0.27085,33.5023,186 - P63mc,hP6,"[API, Out, JSON ]"
Ag2Dy2Se4 [7ee1e465210e710b],50.461,1.37696,0.323487,20.1899,109 - I41md,tI16,"[API, Out, JSON ]"
Ag2Dy2Sn2 [01ecb38bdebc3a09],68.2056,0.140268,0.259056,39.1573,186 - P63mc,hP6,"[API, Out, JSON ]"
Ag2Dy2Te4 [fa013d1f5ece5362],40.7522,0.646135,0.285538,20.3957,113 - P421m,tP8,"[API, Out, JSON ]"
Ag2Er2S4 [1fa8425dcd2de76c],61.7553,0.812808,0.31034,26.8156,109 - I41md,tI16,"[API, Out, JSON ]"
Ag2Er2Sn2 [c0785b0dc60c0bf0],68.7992,0.148945,0.263782,38.5785,186 - P63mc,hP6,"[API, Out, JSON ]"
Ag2F6Rb2 [47b9ffc0d5db5a9b],42.2735,0.378827,0.320634,17.2245,140 - I4/mcm,tI20,"[API, Out, JSON ]"
Ag2Ga2O4 [a68a8a49a217e71e],130.981,11.6959,0.367303,38.1351,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Ag2Ga2S4 [dfee8723b09e7b7f],56.5078,0.961996,0.33126,21.4874,122 - I42d,tI16,"[API, Out, JSON ]"
Ag2Ga2Te4 [4110f65c57bcab22],38.0463,0.922928,0.315326,16.0253,122 - I42d,tI16,"[API, Out, JSON ]"
Ag2Ge2La2 [a592d0a1b4f99ead],65.5735,0.165179,0.255223,38.3618,186 - P63mc,hP6,"[API, Out, JSON ]"
Ag2Hg1I4 [4acd680114f302a1],12.7002,1.29378,0.334938,4.71106,111 - P42m,tP7,"[API, Out, JSON ]"
Ag2Ho2Pb2 [4db29f99b9a52e13],62.1442,0.194695,0.274547,32.9778,186 - P63mc,hP6,"[API, Out, JSON ]"
Ag2Ho2Sn2 [b09dc33db7aab523],68.9502,0.156608,0.263327,38.7516,186 - P63mc,hP6,"[API, Out, JSON ]"
Ag2In2O4 [df047b17dcd22a28],102.215,8.12728,0.380112,26.6377,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Ag2In2S4 [5ec42def8839c87e],48.2976,1.12923,0.351146,15.9626,122 - I42d,tI16,"[API, Out, JSON ]"
Ag2La1Si2 [dc718eec2739ab1e],83.8542,0.231458,0.238984,52.9965,139 - I4/mmm,tI10,"[API, Out, JSON ]"
Ag2La2Pb2 [448c51bb881d4e96],54.7832,0.150202,0.258841,31.4848,186 - P63mc,hP6,"[API, Out, JSON ]"
Ag2O4Sc2 [10b7611d376234cf],110.133,11.2387,0.371736,30.8939,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Ag2O4Y2 [83094e46f95bfef4],98.1959,6.17691,0.368022,28.4199,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Ag2P2Sr2 [558db863d3e11da8],53.2508,0.266187,0.237727,33.8513,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Ag2Pb2Tb2 [c59c1fbcce730c3f],61.7026,0.16954,0.267188,34.0086,186 - P63mc,hP6,"[API, Out, JSON ]"
Ag2S6Ta2 [4b5287b3e7f9e4cd],78.0079,4.4429,0.315036,32.9161,36 - Cmc21,oS20,"[API, Out, JSON ]"
Ag2S6Ta2 [5eb8e6ae98c9cdad],78.3409,3.71599,0.310297,34.0264,63 - Cmcm,oS20,"[API, Out, JSON ]"
Ag2Sb6Zr10 [3270fade19ad4c55],113.179,0.304337,0.274768,59.991,193 - P63/mcm,hP18,"[API, Out, JSON ]"
Ag2Si2Sr1 [8e76165877313837],64.4664,0.136542,0.248255,39.0043,139 - I4/mmm,tI10,"[API, Out, JSON ]"
Ag2Si2Tb1 [3b91a501ca0a8736],91.7254,0.138776,0.259148,52.6362,139 - I4/mmm,tI10,"[API, Out, JSON ]"
Ag2Si2Yb1 [6e66044ada4db838],68.8878,0.133332,0.274824,36.5036,139 - I4/mmm,tI10,"[API, Out, JSON ]"
Ag2Sn2Tb2 [e4b6ef2b136c42d3],67.2639,0.136976,0.256155,39.1718,186 - P63mc,hP6,"[API, Out, JSON ]"
Ag2Te4Y2 [b468cbf4ca46cb34],38.1973,0.587828,0.281929,19.4934,113 - P421m,tP8,"[API, Out, JSON ]"
Ag3As3Ca3 [213db77020668f6f],57.4669,0.010551,0.240665,36.0368,189 - P62m,hP9,"[API, Out, JSON ]"
Ag3Ca3P3 [d1fa435773b889e8],63.7787,0.00746555,0.23698,40.6839,189 - P62m,hP9,"[API, Out, JSON ]"
Ag3Dy3Ge3 [fdaeeba31efc4b61],80.1779,0.124334,0.240603,50.2931,189 - P62m,hP9,"[API, Out, JSON ]"
Ag3Dy3Mg3 [4431de142c78bdfd],56.2255,8.42918,0.386844,13.7627,189 - P62m,hP9,"[API, Out, JSON ]"
Ag3Dy3Si3 [6363a4fb195d7fbd],86.203,0.197629,0.240891,53.9999,189 - P62m,hP9,"[API, Out, JSON ]"
Ag3Er3Ge3 [7f789acb2835c95f],82.3075,0.108186,0.241687,51.3682,189 - P62m,hP9,"[API, Out, JSON ]"
Ag3Er3Ge3 [bc7cddbb05f9cb7e],80.6577,0.942764,0.379965,21.0479,189 - P62m,hP9,"[API, Out, JSON ]"
Ag3Er3Si3 [637eaa781f067602],88.4091,0.166223,0.237469,56.2685,189 - P62m,hP9,"[API, Out, JSON ]"
Ag3Er3Sn3 [9b5b20cd19a36664],70.5476,0.399387,0.277288,36.9027,189 - P62m,hP9,"[API, Out, JSON ]"
Ag3Ge3Tb3 [1c078231c9db1aff],71.3366,0.577991,0.362152,21.6575,189 - P62m,hP9,"[API, Out, JSON ]"
Ag3La3Mg3 [51542415c2e7d529],45.2001,1.0164,0.364634,13.451,189 - P62m,hP9,"[API, Out, JSON ]"
Ag3Mg3Y3 [673964418b9b7e19],53.5309,5.43765,0.376821,14.3676,189 - P62m,hP9,"[API, Out, JSON ]"
Ag3Pb3Y3 [e2db4046e9dda6f5],63.7335,0.419854,0.281177,32.6568,189 - P62m,hP9,"[API, Out, JSON ]"
Ag3Si3Y3 [3655d7d1b22320af],84.803,0.18329,0.238032,53.833,189 - P62m,hP9,"[API, Out, JSON ]"
Ag4Al4O8 [1cfcc183e65d14c9],99.9056,0.399895,0.346237,34.2327,33 - Pna21,oP16,"[API, Out, JSON ]"
Ag4As4S4 [1bd8ef4c736da0e7],40.5661,1.43355,0.362225,12.3086,62 - Pnma,oP12,"[API, Out, JSON ]"
Ag4Ca4Sb4 [7313638953a1d04d],47.4612,0.220593,0.26875,25.9516,62 - Pnma,oP12,"[API, Out, JSON ]"
Ag4Dy4Se8 [9b7ca825c1f32495],49.9846,0.110818,0.31144,21.5605,19 - P212121,oP16,"[API, Out, JSON ]"
Ag4Er4Se8 [55aa9af6d8744553],51.7113,0.0908334,0.311198,22.3381,19 - P212121,oP16,"[API, Out, JSON ]"
Ag4F12K4 [6cc8759f4910c6f6],37.8971,0.230223,0.330371,14.4963,62 - Pnma,oP20,"[API, Out, JSON ]"
Ag4Ho4Se8 [a111068aec3bb596],49.6763,0.163818,0.305795,22.1645,19 - P212121,oP16,"[API, Out, JSON ]"
Ag4K4O4 [6c79ab532bba1db3],28.0623,0.704297,0.309263,12.2646,139 - I4/mmm,tI24,"[API, Out, JSON ]"
Ag4O4Rb4 [d5b4a2bd84341848],23.9464,0.626882,0.314963,10.1089,119 - I4m2,tI24,"[API, Out, JSON ]"
Ag4Se4Tl4 [51c861f8d5f2a223],34.6652,0.91873,0.349833,11.5694,62 - Pnma,oP12,"[API, Out, JSON ]"
Ag4Te4Tl4 [d03b8a2bb448d3bc],35.5085,0.803478,0.363284,10.6828,62 - Pnma,oP12,"[API, Out, JSON ]"
Ag5O6Pb2 [67bca844220b1f40],73.7187,5.16376,0.404837,14.9811,162 - P31m,hP13,"[API, Out, JSON ]"
Ag6P2S8 [474a32773d1a741c],41.8712,0.214953,0.363324,12.5931,31 - Pmn21,oP16,"[API, Out, JSON ]"
Ag8Ba4Te8 [a92a093ecd79bd09],36.5838,0.263539,0.334286,13.6307,62 - Pnma,oP20,"[API, Out, JSON ]"
Al10C6N2 [ee8d083d53ebf899],163.019,0.135187,0.220014,112.236,186 - P63mc,hP18,"[API, Out, JSON ]"
Al10C6N2 [80a63a9a1c28fc32],167.234,0.0547983,0.223961,113.149,194 - P63/mmc,hP18,"[API, Out, JSON ]"
Al1Ba1Ge1 [e5990f43d042239c],44.3828,0.144385,0.193348,34.2148,187 - P6m2,hP3,"[API, Out, JSON ]"
Al1Ba1Si1 [0655bb1b738565e8],49.0752,0.172824,0.194107,37.7146,187 - P6m2,hP3,"[API, Out, JSON ]"
Al1Ca1Si1 [a2be57f97c3c3734],57.0844,0.448352,0.219523,39.3864,187 - P6m2,hP3,"[API, Out, JSON ]"
Al1F4Rb1 [9fdebc04ebf454ae],54.974,2.35078,0.289007,26.9955,123 - P4/mmm,tP6,"[API, Out, JSON ]"
Al1F5K2 [fcfa27833696b719],26.0512,2.10214,0.271135,14.0714,123 - P4/mmm,tP8,"[API, Out, JSON ]"
Al1F6K3 [80c10bcea48c9956],39.4778,4.88965,0.350031,13.1563,225 - Fm3m,cF40,"[API, Out, JSON ]"
Al1Ge1Sr1 [f573f77ca303f0e2],46.2798,0.264252,0.198779,34.8867,187 - P6m2,hP3,"[API, Out, JSON ]"
Al1Si1Sr1 [8023faf5b757d0b6],52.0558,0.359297,0.199617,39.1042,187 - P6m2,hP3,"[API, Out, JSON ]"
Al2Au2O4 [d556e520fbda64b1],164.693,2.71887,0.318378,68.0651,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Al2B2Ru3 [1d5a88cc33f339d7],238.799,0.489563,0.319198,98.1855,65 - Cmmm,oS14,"[API, Out, JSON ]"
Al2Ba1Si2 [544c2df3889130ff],42.4195,3.36488,0.25228,25.1737,139 - I4/mmm,tI10,"[API, Out, JSON ]"
Al2C2Ti4 [ee35d82ec985e33c],136.207,0.0113895,0.17419,113.383,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Al2C2V4 [57c8992a63c3e76f],174.037,0.0720835,0.225618,116.886,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Al2C2Zr4 [c80850c41a89bd06],123.923,0.0257596,0.201214,92.473,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Al2C6Nb8 [3e06d4bedd955b6a],221.839,0.0377772,0.22771,147.603,194 - P63/mmc,hP16,"[API, Out, JSON ]"
Al2C6Ta8 [57f062a3210f15c7],235.716,0.0287935,0.263072,132.647,194 - P63/mmc,hP16,"[API, Out, JSON ]"
Al2C6V8 [fc6f33327f7d235d],213.004,0.0223045,0.210617,152.748,194 - P63/mmc,hP16,"[API, Out, JSON ]"
Al2Cl8Cu2 [af155c777063d34b],11.9007,2.03446,0.269167,6.49342,112 - P42c,tP12,"[API, Out, JSON ]"
Al2Co1Zr6 [234f20d1a182fcd9],107.353,0.00452028,0.287476,53.1622,189 - P62m,hP9,"[API, Out, JSON ]"
Al2Cu2O4 [0213085c7ff3e4be],168.227,2.9358,0.303962,75.874,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Al2Cu4Re4 [85cffccc63c7ef50],198.38,0.434699,0.311835,85.3648,127 - P4/mbm,tP10,"[API, Out, JSON ]"
Al2Dy2Zn2 [18812c96f0114ca2],70.5259,0.554061,0.20328,52.1736,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Al2Er2Zn2 [c2b5d48f339a605f],71.9397,0.629611,0.215347,50.5482,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Al2F8Na2 [66de88c2155c99b9],67.4022,0.449258,0.249123,40.6116,63 - Cmcm,oS24,"[API, Out, JSON ]"
Al2Fe1Zr6 [4a6e79068244bb69],103.17,0.0291583,0.296601,48.5531,189 - P62m,hP9,"[API, Out, JSON ]"
Al2Ge2Sc2 [7cdc75f8f4c36d90],85.6588,0.438888,0.252295,50.8302,63 - Cmcm,oS12,"[API, Out, JSON ]"
Al2Ge2Y2 [1854ad7843d7457d],81.5208,0.322424,0.222518,55.5097,63 - Cmcm,oS12,"[API, Out, JSON ]"
Al2H8Na2 [1fec0e97d7faf179],35.3275,0.787575,0.234918,22.7498,36 - Cmc21,oS24,"[API, Out, JSON ]"
Al2H8Th4 [27ef8cbf21ba4b28],97.5627,0.07948,0.270423,52.8914,140 - I4/mcm,tI28,"[API, Out, JSON ]"
Al2Hf6Pt1 [56953f759ff4e283],124.639,0.0595741,0.282299,63.4816,189 - P62m,hP9,"[API, Out, JSON ]"
Al2Hg1S4 [4d10110fb38e99c1],37.9815,0.841404,0.255004,22.2437,82 - I4,tI14,"[API, Out, JSON ]"
Al2Li10O8 [3a9e66b3bda80de3],80.2061,0.128252,0.234411,51.77,59 - Pmmn,oP20,"[API, Out, JSON ]"
Al2Li2Te4 [d1883835918feb41],27.9597,0.832718,0.287973,13.8082,122 - I42d,tI16,"[API, Out, JSON ]"
Al2Mn2Pt2 [da10a37665f60fb7],128.914,0.424129,0.313902,54.7774,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Al2N2Zr4 [90fb04d94c496c4a],142.336,0.0209787,0.241922,88.7348,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Al2N2Zr6 [509e96e33161ea6c],134.756,0.218794,0.227781,89.6327,63 - Cmcm,oS20,"[API, Out, JSON ]"
Al2N6Ta8 [18b4630fd18cfa5c],242.926,0.232537,0.312529,104.093,194 - P63/mmc,hP16,"[API, Out, JSON ]"
Al2N6V8 [b606646ec505048a],196.139,0.0479402,0.270199,106.455,194 - P63/mmc,hP16,"[API, Out, JSON ]"
Al2Ni1Zr6 [a5bd4467e9ed05b8],108.464,0.00704426,0.293701,51.8881,189 - P62m,hP9,"[API, Out, JSON ]"
Al2O6Y2 [901d512ca4ebdee5],168.251,0.740009,0.288037,83.0635,194 - P63/mmc,hP10,"[API, Out, JSON ]"
Al2O8P2 [70e9c5ac99a84ddc],121.645,0.19618,0.353801,39.4099,186 - P63mc,hP12,"[API, Out, JSON ]"
Al2Pd5U1 [0ad8cb50bc290b40],126.016,0.135362,0.333679,47.1458,139 - I4/mmm,tI16,"[API, Out, JSON ]"
Al2Pd5Y1 [e212cbc1fb17f25c],133.098,0.188616,0.312734,56.9606,139 - I4/mmm,tI16,"[API, Out, JSON ]"
Al2Pt2Ti2 [eb01cc46c2f8b604],151.205,1.19678,0.332239,57.1209,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Al2Sc4Si4 [5b7abbd7fc2d9289],99.1589,0.251918,0.220654,68.0774,127 - P4/mbm,tP10,"[API, Out, JSON ]"
Al2Se4Tl2 [2d87cbc355583fbb],26.9027,0.97176,0.275308,14.2197,140 - I4/mcm,tI16,"[API, Out, JSON ]"
Al2Si2Y2 [b3f3bbfddb69a92b],87.846,0.241648,0.209929,63.1812,63 - Cmcm,oS12,"[API, Out, JSON ]"
Al2Sn6Zr10 [987fd64ce4b5d044],104.958,0.0481598,0.245245,64.4177,193 - P63/mcm,hP18,"[API, Out, JSON ]"
Al2Y2Zn2 [8a8c03100719438b],68.7043,0.391876,0.183898,55.0322,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Al3B6Ni20 [953f9f699e2cf489],192.817,0.0270167,0.315394,81.1813,225 - Fm3m,cF116,"[API, Out, JSON ]"
Al3Cu3Er3 [48aef3546fc0ffb2],82.458,0.628792,0.278199,42.9259,189 - P62m,hP9,"[API, Out, JSON ]"
Al3Dy3Ni3 [6e9816c989bbfd61],94.1143,1.50917,0.33698,34.4264,189 - P62m,hP9,"[API, Out, JSON ]"
Al3Er3Ni3 [e024c5d5fa227c98],101.502,0.738106,0.319565,41.6375,189 - P62m,hP9,"[API, Out, JSON ]"
Al3Er3Pd3 [52e6e6389ba040d7],98.7695,0.753821,0.34106,35.1179,189 - P62m,hP9,"[API, Out, JSON ]"
Al3Ho3Ni3 [b29f50f05cf9e2a9],94.5549,0.77427,0.313412,40.2984,189 - P62m,hP9,"[API, Out, JSON ]"
Al3Ir3Th3 [702250d52cb08f91],129.668,0.498901,0.34755,44.0084,189 - P62m,hP9,"[API, Out, JSON ]"
Al3La1Pd2 [026d6e08c98dbea7],103.461,0.0380186,0.293033,49.6809,191 - P6/mmm,hP6,"[API, Out, JSON ]"
Al3Mg3Y3 [b0932d269ad7d933],57.4472,0.300481,0.191016,44.7103,189 - P62m,hP9,"[API, Out, JSON ]"
Al3Ni2Th1 [5d3a891d1341c11f],122.458,0.190334,0.266208,67.8319,191 - P6/mmm,hP6,"[API, Out, JSON ]"
Al3Pd3Tb3 [ece5536a079b806a],78.3089,6.57608,0.360221,24.1416,189 - P62m,hP9,"[API, Out, JSON ]"
Al3Pd3Th3 [34c7bf6ca067f63d],103.421,1.07181,0.374288,28.3812,189 - P62m,hP9,"[API, Out, JSON ]"
Al3Pd3Y3 [b05b7f0dcfc76fbc],94.7255,1.32648,0.354558,30.5127,189 - P62m,hP9,"[API, Out, JSON ]"
Al3Pt3Th3 [843370192faefdc4],118.665,0.525883,0.352875,38.7143,189 - P62m,hP9,"[API, Out, JSON ]"
Al3Pt3Zr3 [2d35bbc8a972ec15],158.246,2.86453,0.364912,46.9857,189 - P62m,hP9,"[API, Out, JSON ]"
Al3Rh3Th3 [90efbabf76e6e643],121.52,0.489731,0.355232,38.943,189 - P62m,hP9,"[API, Out, JSON ]"
Al4Au4Ca4 [ba9d3e459f7adaf5],60.4457,1.02435,0.313262,25.7851,62 - Pnma,oP12,"[API, Out, JSON ]"
Al4Au4Dy2 [f1f31fdc7a8eb3f5],100.266,0.325269,0.332607,37.7841,129 - P4/nmm,tP10,"[API, Out, JSON ]"
Al4Au4Dy4 [b4c1151be8c51f78],90.5828,0.184007,0.307705,39.96,62 - Pnma,oP12,"[API, Out, JSON ]"
Al4Au4Er4 [bf296c7d4fb899f0],93.2267,0.214223,0.305854,41.581,62 - Pnma,oP12,"[API, Out, JSON ]"
Al4Au4Sr2 [9989f2180450e048],71.0228,0.47709,0.329009,27.4135,129 - P4/nmm,tP10,"[API, Out, JSON ]"
Al4Au4Th2 [5713b2d3698c61de],111.65,0.316664,0.301049,51.219,129 - P4/nmm,tP10,"[API, Out, JSON ]"
Al4Au4Y4 [9bc0d770eed17237],87.15,0.216083,0.289348,42.7155,62 - Pnma,oP12,"[API, Out, JSON ]"
Al4Au4Yb4 [d8658ec9d923de23],60.5531,0.799462,0.306519,26.9018,62 - Pnma,oP12,"[API, Out, JSON ]"
Al4C4Th1 [662ca37cd97d3328],159.305,0.303989,0.241044,99.7216,87 - I4/m,tI18,"[API, Out, JSON ]"
Al4C6Th4 [a093975e8e47e2f2],141.463,0.130776,0.232566,92.0811,58 - Pnnm,oP14,"[API, Out, JSON ]"
Al4Ca12Sb12 [e2385ee95ed57efb],37.8383,0.0825893,0.244053,23.3542,62 - Pnma,oP28,"[API, Out, JSON ]"
Al4Co2Y2 [c954937f85e0cdcc],87.2713,1.24161,0.28187,44.5518,63 - Cmcm,oS16,"[API, Out, JSON ]"
Al4Cu2Mg2 [b29f8d68fec2d722],78.0023,0.458957,0.248827,47.065,63 - Cmcm,oS16,"[API, Out, JSON ]"
Al4Er2Ni2 [47ac751010ec616f],95.6476,0.809588,0.271445,51.5808,63 - Cmcm,oS16,"[API, Out, JSON ]"
Al4Fe6Si8 [9d67de0c2985ea85],166.494,0.0971235,0.231427,108.937,63 - Cmcm,oS36,"[API, Out, JSON ]"
Al4Gd4O12 [f823c87fc8550016],181.021,0.246298,0.247669,109.83,62 - Pnma,oP20,"[API, Out, JSON ]"
Al4Ge2La4 [dd01edc052b1beb2],63.8394,0.251787,0.213887,45.1408,63 - Cmcm,oS20,"[API, Out, JSON ]"
Al4I2La4 [f15c6282dc3a2ad0],47.2802,0.229162,0.217146,32.9624,194 - P63/mmc,hP10,"[API, Out, JSON ]"
Al4La10Ru6 [b877c81079a98525],69.4787,0.0878064,0.323116,27.8653,199 - I213,cI40,"[API, Out, JSON ]"
Al4Li4O8 [7f1f3925499b0adb],92.3859,0.202814,0.26283,52.0525,92 - P41212,tP16,"[API, Out, JSON ]"
Al4Mg2O8 [d957de87b15d4247],195.544,0.920337,0.251289,116.601,63 - Cmcm,oS28,"[API, Out, JSON ]"
Al4Ni2Y2 [094644da74c392d9],95.177,0.574509,0.265736,52.8463,63 - Cmcm,oS16,"[API, Out, JSON ]"
Al4O10Si2 [38146938a7b4dba5],215.252,0.477222,0.271903,115.807,63 - Cmcm,oS32,"[API, Out, JSON ]"
Al4O12Y4 [4792c39561f6d200],190.647,0.233041,0.254463,111.946,62 - Pnma,oP20,"[API, Out, JSON ]"
Al4O8Pb2 [9ff5a3a14dbd891b],66.9038,0.184891,0.255532,39.0812,40 - Ama2,oS28,"[API, Out, JSON ]"
Al4Pb2S8 [5e820047206a0c52],37.6664,0.874631,0.2682,20.6539,66 - Cccm,oS28,"[API, Out, JSON ]"
Al4Pd4Tb4 [9555b8f8537f0fc8],98.5191,0.548339,0.358848,30.7014,62 - Pnma,oP12,"[API, Out, JSON ]"
Al4Pd4Y4 [4506c24becb0059d],96.0641,0.845578,0.366332,28.1938,62 - Pnma,oP12,"[API, Out, JSON ]"
Al4S8Sr2 [33d8c841d607d1ea],35.5171,0.68838,0.247609,21.5553,66 - Cccm,oS28,"[API, Out, JSON ]"
Al4Se8Sr2 [02c8bb19af7a55da],30.0517,0.646906,0.247252,18.2694,66 - Cccm,oS28,"[API, Out, JSON ]"
Al5Ba5Sn1 [f9a0597b79f95701],29.1983,0.119842,0.256613,16.9659,187 - P6m2,hP11,"[API, Out, JSON ]"
Al5Ca5Si5 [fadae3ba34adcebe],55.4562,0.459718,0.210543,39.781,187 - P6m2,hP15,"[API, Out, JSON ]"
Al6B4Ru8 [aed874a0f92764de],219.999,0.500713,0.28443,110.769,123 - P4/mmm,tP18,"[API, Out, JSON ]"
Al6C2Zr10 [4f808281378ad03c],105.679,0.0257395,0.240299,66.3827,193 - P63/mcm,hP18,"[API, Out, JSON ]"
Al6C6Dy2 [9e633e21a7b704d6],158.119,0.0194769,0.163988,136.934,194 - P63/mmc,hP14,"[API, Out, JSON ]"
Al6C6Er2 [f40dcb7561f9f8e3],160.144,0.0205706,0.163659,138.863,194 - P63/mmc,hP14,"[API, Out, JSON ]"
Al6C6Gd2 [800cf8b0a824bac5],154.787,0.0156419,0.168945,131.511,194 - P63/mmc,hP14,"[API, Out, JSON ]"
Al6C6Ho2 [b7f9a01d5542a9e7],159.593,0.0201122,0.164673,137.847,194 - P63/mmc,hP14,"[API, Out, JSON ]"
Al6C6Sc2 [3aff30e8e1026638],165.018,0.0318991,0.173291,137.85,186 - P63mc,hP14,"[API, Out, JSON ]"
Al6C6Tb2 [a418d79a0fa90095],157.295,0.0180008,0.166041,135.15,194 - P63/mmc,hP14,"[API, Out, JSON ]"
Al6C6Y2 [fc20c1baececd8b9],157.318,0.0170409,0.165816,135.287,194 - P63/mmc,hP14,"[API, Out, JSON ]"
Al6C8Hf4 [55cd6688d0177c7e],196.517,0.0399384,0.186044,156.059,194 - P63/mmc,hP18,"[API, Out, JSON ]"
Al6C8Zr4 [24e4050ed5191b98],188.68,0.0375968,0.187537,148.935,194 - P63/mmc,hP18,"[API, Out, JSON ]"
Al6Ca6Si6 [92fd0d9d27e7cc56],56.7437,0.437703,0.22196,38.7336,186 - P63mc,hP18,"[API, Out, JSON ]"
Al6Hf10N2 [60bc35d462e58d7e],129.498,1.28177,0.30821,56.9549,193 - P63/mcm,hP18,"[API, Out, JSON ]"
Al6Hf6Pt6 [3dce273fb55e12a1],164.497,0.765579,0.315385,69.2615,190 - P62c,hP18,"[API, Out, JSON ]"
Al6Os2U4 [50908d758f0cc70c],98.8038,0.103239,0.250635,59.1016,194 - P63/mmc,hP12,"[API, Out, JSON ]"
Al6Pt6Zr6 [ac9016ac2c1354f1],153.749,1.05694,0.324506,61.1141,190 - P62c,hP18,"[API, Out, JSON ]"
Al7Cu16Yb6 [e1b8325fd8f33747],71.5278,0.015135,0.276,37.6697,225 - Fm3m,cF116,"[API, Out, JSON ]"
Al7Cu16Zr6 [b7bb5ae2ad042a8f],126.144,0.134089,0.267496,69.4182,225 - Fm3m,cF116,"[API, Out, JSON ]"
Al8Ba4Ge8 [e68c32e71fefa9f0],52.2293,0.193642,0.241509,32.6236,62 - Pnma,oP20,"[API, Out, JSON ]"
Al8Ba4Si8 [d5f8ae327ad270d9],57.2479,0.177384,0.240941,35.8531,62 - Pnma,oP20,"[API, Out, JSON ]"
