ENTRY ,AEL VRH bulk modulus ,AEL elastic anisotropy ,AEL Poisson ratio ,AEL VRH shear modulus ,space group ,Pearson symbol ,DATA
La4Pd4Sn4 [f47a6a6f2a41b676],72.7498,0.44447,0.330225,27.8549,62 - Pnma,oP12,"[API, Out, JSON ]"
La4Rh4Sn8 [3727b58c3492cd96],81.9761,2.88467,0.354581,26.4013,63 - Cmcm,oS32,"[API, Out, JSON ]"
La6Sb10Zr2 [e68873fd5f6ddc9a],60.6788,0.0168186,0.280716,31.1682,193 - P63/mcm,hP18,"[API, Out, JSON ]"
La8N4S6 [00a5c7beab012896],51.8648,3.4947,0.272408,27.8307,58 - Pnnm,oP18,"[API, Out, JSON ]"
Li1Mg1P1 [96211fe3f6ead857],55.7611,6.22608,0.316035,23.384,216 - F43m,cF12,"[API, Out, JSON ]"
Li1Mg4Si2 [4842dd1381fd6937],48.4327,2.1733,0.345966,16.628,123 - P4/mmm,tP7,"[API, Out, JSON ]"
Li1N1Zn1 [6b05d551697846cb],116.122,0.331565,0.180157,94.4134,216 - F43m,cF12,"[API, Out, JSON ]"
Li1P1Sr1 [9e558bc257402650],41.9014,0.716986,0.215362,29.44,187 - P6m2,hP3,"[API, Out, JSON ]"
Li1P1Zn1 [be98529facd710aa],64.5556,0.0290357,0.180327,52.4515,216 - F43m,cF12,"[API, Out, JSON ]"
Li1Pb1Pd2 [d5826e5e5181d54c],88.0444,7.51364,0.418748,15.127,225 - Fm3m,cF16,"[API, Out, JSON ]"
Li1Pd2Sn1 [f03d3b055bd7c0f8],104.106,4.59227,0.393461,23.8786,225 - Fm3m,cF16,"[API, Out, JSON ]"
Li1Pd2Tl1 [1c331e13da810623],92.5614,0.824533,0.343303,32.3919,139 - I4/mmm,tI8,"[API, Out, JSON ]"
Li2Mg1Pb1 [3649f800dc60563b],30.8333,8.38882,0.277339,16.1243,225 - Fm3m,cF16,"[API, Out, JSON ]"
Li2Mg1Si1 [46b836dec2130b87],46.3222,1.88271,0.180482,37.6138,216 - F43m,cF16,"[API, Out, JSON ]"
Li2N4P2 [c96c38c739565e0b],135.649,1.42608,0.202866,100.525,122 - I42d,tI16,"[API, Out, JSON ]"
Li2Na1Sb1 [ffd8d4a125d06b15],29.8222,0.746326,0.179552,24.3053,225 - Fm3m,cF16,"[API, Out, JSON ]"
Li2Nb2O4 [4f78070bb1b092a9],156.68,1.2582,0.229181,103.561,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Li2Nb2S4 [6b52188580eff2d6],82.4108,0.214829,0.213648,58.3328,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Li2O8Ti4 [ce43c1ef662df81a],124.778,0.461437,0.254231,73.3513,227 - Fd3m,cF56,"[API, Out, JSON ]"
Li2O8V4 [2f099cd6fdf79e0f],133.289,1.0311,0.265961,73.9236,227 - Fd3m,cF56,"[API, Out, JSON ]"
Li2P2Sr2 [d223febce8427b9d],44.3819,0.156613,0.172095,37.2487,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Li2Pd1Sb1 [065bc33863b0165a],67.1167,7.81702,0.346477,22.9576,216 - F43m,cF16,"[API, Out, JSON ]"
Li2Pd4Sn12 [b49d5044a52e7e5f],59.2839,0.439052,0.353817,19.2041,127 - P4/mbm,tP18,"[API, Out, JSON ]"
Li2Ru2Sn8 [07f9a4be9a1a40d2],65.9758,0.2086,0.237555,41.974,140 - I4/mcm,tI24,"[API, Out, JSON ]"
Li2Sb2Zn2 [3f57a877140fb8da],46.0462,0.299609,0.268467,25.2144,186 - P63mc,hP6,"[API, Out, JSON ]"
Li2Si4Y4 [ea3c4bf66a460e54],68.2414,1.21291,0.229971,44.9454,127 - P4/mbm,tP10,"[API, Out, JSON ]"
Li3O4U1 [43e5320e7021d544],94.9315,0.237617,0.218877,65.6852,139 - I4/mmm,tI16,"[API, Out, JSON ]"
Li3Si3Y3 [c26493e7a28c7532],62.7917,0.327312,0.192712,48.5326,189 - P62m,hP9,"[API, Out, JSON ]"
Li4Mn4O8 [437ea40bf1ae5793],101.771,1.3326,0.235106,65.4806,141 - I41/amd,tI32,"[API, Out, JSON ]"
Li4Na4Te4 [a9111dde9eb7a8be],25.4256,0.158887,0.248703,15.3505,62 - Pnma,oP12,"[API, Out, JSON ]"
Li4O10Si4 [dc8cef405f5df2c3],77.5072,0.241236,0.239721,48.8179,37 - Ccc2,oS36,"[API, Out, JSON ]"
Li4O10Si4 [7f9d210e464274d6],76.8768,0.278801,0.235162,49.4508,37 - Ccc2,oS36,"[API, Out, JSON ]"
Li4O12Sb4 [a26bbf21ddeb7256],105.324,0.568336,0.248087,63.7755,52 - Pnna,oP20,"[API, Out, JSON ]"
Li4O8Rh4 [62f8911774d7bd20],123.628,0.697252,0.316524,51.6876,227 - Fd3m,cF64,"[API, Out, JSON ]"
